id,name,category,subcategory,use_this_when,intent_tags,phone_primary,phone_secondary,sms,address,city,state,zip,area,lat,lng,hours_display,eligibility,cost,military_civilian,confidentiality_reporting_notes,emergency,priority,status,source_name,source_url,verified_at,last_checked_at,reverify_days,recheck_at,change_history,admin_notes,provenance
drum-052,Fort Drum CYS Parent Central Services,"Kids, School & Child Care",Child & Youth Services,"Register for CYS, child-care and youth programs, or ask about military child/youth services.","[""CYS"", ""Parent Central"", ""daycare"", ""child care"", ""youth programs""]",315-772-8675,,,,,NY,,Fort Drum,,,Duty hours; verify current appointment/walk-in process,Eligible military families,Program fees vary,military,,False,P0,active,Fort Drum Child and Youth Services,https://home.army.mil/drum/my-fort/all-services/child-and-youth-services,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
drum-053,Fort Drum Exceptional Family Member Program,"Kids, School & Child Care",EFMP,"Special-needs family support, EFMP navigation, relocation coordination, and related resources.","[""EFMP"", ""special needs"", ""IEP"", ""disabled child"", ""exceptional family member""]",315-772-5476,,,"Bldg. 10250, 4th Armored Division Drive",Fort Drum,NY,13602,Fort Drum,,,Duty hours,Eligible military families,Free,military,,False,P0,active,Fort Drum EFMP,https://home.army.mil/drum/about/Garrison/directorate-human-resources/soldier-and-family-readiness-division-sfrd/SFRC/exceptional-family-member-program-efmp,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
drum-054,Fort Drum Employment Readiness Program,Military & PCS,Spouse / Soldier Employment,Career help for Soldiers and military family members transitioning to or from Fort Drum.,"[""employment readiness"", ""spouse job"", ""resume"", ""career help""]",315-772-1090,,,,,NY,,Fort Drum / Clark Hall,,,Duty hours; Clark Hall source lists weekday operations,Soldiers and military family members,Free,military,,False,P1,active,Fort Drum Clark Hall Services,https://home.army.mil/drum/about/services-clark-hall,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-055,Fort Drum Transition Assistance Program,Military & PCS,Transition / Separation,"Transitioning out of military service, employment preparation, and separation/retirement transition support.","[""TAP"", ""transition assistance"", ""ETS"", ""retirement"", ""separation""]",315-772-3434,315-772-3286,,,,NY,,Fort Drum,,,Duty hours,Eligible transitioning service members,Free,military,,False,P1,active,Fort Drum TAP,https://home.army.mil/drum/about/Garrison/directorate-human-resources/TAP,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-056,Fort Drum Mountain Community Homes,Military & PCS,On-Post Housing,"On-post family housing leasing, resident services, and housing questions.","[""on post housing"", ""Mountain Community Homes"", ""Fort Drum housing""]",315-836-4168,,,,,NY,,Fort Drum,,,Verify current leasing/resident-service hours,Eligible military households,Housing / BAH terms apply,military,,False,P1,active,Fort Drum Mountain Community Homes,https://www.fortdrummch.com/,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-057,Fort Drum Army Community Service,Military & PCS,ACS Main,General Army Community Service programs and referrals.,"[""ACS"", ""Army Community Service"", ""family services""]",315-772-2271,,,,,NY,,Fort Drum,,,Monday-Friday duty hours,Fort Drum community,Free,military,,False,P1,active,Fort Drum ACS,https://home.army.mil/drum/about/Garrison/FMWR/ACS,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-058,Fort Drum Army Substance Abuse Program,Health & Medical,Substance Use / Prevention,"Substance-use prevention, Army Substance Abuse Program routing, and related support.","[""ASAP"", ""substance abuse"", ""alcohol"", ""drug help""]",315-772-2727,,,"Bldg. 10250, 4th Armored Division Drive",Fort Drum,NY,13602,Fort Drum,,,Weekday duty hours per source,Fort Drum Army community / program-specific,Military program,military,,False,P0,active,Fort Drum Army Substance Abuse Program,https://home.army.mil/drum/my-fort/all-services/army-substance-abuse-program,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
drum-059,Fort Drum Employee Assistance Program,Health & Medical,Employee Assistance,Civilian employee assistance / support routing through Soldier and Family Readiness Center.,"[""EAP"", ""employee assistance"", ""civilian employee help""]",315-772-2597,,,,,NY,,Fort Drum,,,Duty hours,Program-specific Fort Drum employees,Free/employee benefit,military,,False,P1,active,Fort Drum Soldier and Family Readiness Center,https://home.army.mil/drum/about/Garrison/directorate-human-resources/soldier-and-family-readiness-division-sfrd/SFRC,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-060,Fort Drum Secure Hold and Safe Haven,Military & PCS,Household Goods,Household-goods shipment secure-hold / safe-haven questions involving transportation service providers.,"[""HHG"", ""household goods"", ""moving truck"", ""shipment"", ""safe haven"", ""secure hold""]",315-772-7770,,,,,NY,,Fort Drum,,,Duty hours,DoD shipment / PCS related,Program-specific,military,,False,P1,active,Fort Drum Secure Hold and Safe Haven,https://home.army.mil/drum/my-fort/all-services/secure-hold-and-safe-haven,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-061,Fort Drum Commissary,"Groceries, Clothes & Everyday Life",Groceries,On-post grocery shopping for authorized patrons.,"[""commissary"", ""groceries"", ""food shopping"", ""DeCA""]",315-221-7600,315-221-7611,,,,NY,,Fort Drum,,,Current DeCA page lists seven-day operation; verify holiday hours,Authorized commissary patrons,Retail,military,,False,P1,active,Defense Commissary Agency,https://corp.commissaries.com/shopping/store-locations/fort-drum,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-062,Fort Drum Commissary Customer Service,"Groceries, Clothes & Everyday Life",Groceries / Customer Service,Customer-service questions for the Fort Drum Commissary.,"[""commissary customer service"", ""grocery help""]",315-221-7611,315-221-7600,,,,NY,,Fort Drum,,,Store hours; verify holiday changes,Authorized commissary patrons,Retail,military,,False,P1,active,Defense Commissary Agency,https://corp.commissaries.com/shopping/store-locations/fort-drum,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-063,Fort Drum Outdoor Recreation,Outdoors & Local Life,Outdoor Recreation / Gear,"Rent outdoor gear, join trips, get recreation help, and access seasonal equipment.","[""Outdoor Recreation"", ""gear rental"", ""snowshoes"", ""ski"", ""kayak"", ""camping gear""]",315-772-8222,,,"Bldg. 11115, Iraqi Freedom Drive",Fort Drum,NY,13602,Fort Drum,,,Monday-Friday 8am-4pm per source,Authorized patrons / program-specific,Rental/program fees vary,military,,False,P1,active,Fort Drum MWR Outdoor Recreation,https://drum.armymwr.com/programs/outdoor-recreation,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-064,Fort Drum iSportsman / Sportsman's Hotline,Outdoors & Local Life,Hunting / Fishing / Training Lands,"Check access status and requirements before hiking, hunting, fishing, ATV/snowmobile or other recreation on Fort Drum training lands.","[""iSportsman"", ""hunting"", ""fishing"", ""hiking"", ""training area"", ""sportsman""]",855-267-9770,,,,,NY,,Fort Drum training lands,,,Check current area status before recreating,Recreationists following Fort Drum access rules,Permit/license rules may apply,both,,False,P1,active,Fort Drum iSportsman,https://fortdrum.isportsman.net/,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-065,Remington Park,Outdoors & Local Life,Family Recreation,"Fort Drum family recreation, park use, and seasonal activities.","[""Remington Park"", ""Fort Drum park"", ""family recreation""]",315-774-7330,315-774-7331,,11430 Pech River Road,Fort Drum,NY,13602,Fort Drum,,,MWR lists weekday office hours; park/seasonal hours vary,Authorized patrons / access rules apply,Varies,military,,False,P2,active,Fort Drum MWR Remington Park,https://drum.armymwr.com/programs/remington-park,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
drum-066,Fort Drum Motorcycle Safety,Military & PCS,Motorcycle Safety,Motorcycle Safety Foundation course and installation motorcycle-safety questions.,"[""motorcycle safety"", ""MSF"", ""Fort Drum motorcycle""]",315-772-4674,,,,,NY,,Fort Drum,,,Course schedule varies,Program/course rules apply,Program-specific,military,,False,P1,active,Fort Drum Motorcycle Safety Foundation Course,https://home.army.mil/drum/my-fort/all-services/motorcycle-safety-foundation-course,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-067,Fort Drum Mountain CARES,Military & PCS,Prevention / Support Navigation,"Prevention resources, support navigation, and connection to Fort Drum / Military OneSource programs.","[""Mountain CARES"", ""prevention"", ""support"", ""military help""]",315-772-4608,315-772-2899,,,,NY,,Fort Drum,,,Monday-Friday duty hours per source,Fort Drum community,Free,military,,False,P1,active,Fort Drum Mountain CARES,https://home.army.mil/drum/my-fort/all-services/CARES,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
drum-068,Fort Drum Garrison Phone Directory,Military & PCS,Directory / Routing,Find the official number for a Fort Drum office not already in PCSHomes.,"[""Fort Drum directory"", ""phone directory"", ""office number"", ""who do I call""]",,,,,,NY,,Fort Drum,,,Web directory,Anyone,Free,both,,False,P1,active,Fort Drum Phone Directory,https://home.army.mil/drum/contact/phone-directory,2026-09-24,2026-09-24,60,2026-11-23,[],"Use as a fallback source and for Bishop verification, not as the primary user experience.",restored_from_pcshomes_deep_research_report
everyday-069,Walmart Supercenter - Watertown,"Groceries, Clothes & Everyday Life",One-Stop Shopping,"Groceries, clothing, household basics, pharmacy/retail items, and arrival-day supplies.","[""Walmart"", ""groceries"", ""clothes"", ""household goods"", ""one stop shopping""]",315-786-0145,,,,Watertown,NY,13601,Watertown,,,Store hours vary; check current listing,Anyone,Retail,civilian,,False,P2,active,Walmart Watertown Store,https://www.walmart.com/store/1871-watertown-ny,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
everyday-070,Hannaford - Watertown,"Groceries, Clothes & Everyday Life",Groceries,"Groceries, pharmacy, pickup/delivery, and supermarket services.","[""Hannaford"", ""groceries"", ""pharmacy"", ""grocery pickup""]",315-782-7456,,,21110 US Route 3,Watertown,NY,13601,Watertown,,,Check current store hours,Anyone,Retail,civilian,,False,P2,active,Hannaford Watertown,https://stores.hannaford.com/ny/watertown/8175,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
everyday-071,Price Chopper - Arsenal Street,"Groceries, Clothes & Everyday Life",Groceries,Off-post grocery shopping in Watertown.,"[""Price Chopper"", ""groceries"", ""supermarket""]",315-788-1645,,,,Watertown,NY,13601,Watertown,,,Check current store hours,Anyone,Retail,civilian,,False,P2,active,Price Chopper Watertown,https://www.pricechopper.com/stores/ny/watertown/price-chopper-102.html,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
outdoors-072,Black River Trail,Outdoors & Local Life,Trail,"Paved walking, running and biking with seasonal snowshoe/cross-country-ski use along the Black River.","[""Black River Trail"", ""walk"", ""run"", ""bike"", ""snowshoe"", ""cross country ski""]",,,,,,NY,,Watertown / Black River,,,Day-use / trail conditions vary,Public,Free,civilian,,False,P2,active,New York State Parks,https://parks.ny.gov/visit/state-parks/black-river-trail,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
outdoors-073,Watertown Parks & Recreation,Outdoors & Local Life,City Recreation,"City parks, recreation programs, trails, picnic areas, and local recreation information.","[""Watertown parks"", ""recreation"", ""playground"", ""city park""]",315-785-7775,,,,Watertown,NY,13601,Watertown,,,Office/program hours vary,Public / program-specific,Many parks free; programs may have fees,civilian,,False,P2,active,City of Watertown Parks & Recreation,https://www.watertown-ny.gov/departments/ParksandRecreation,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
outdoors-074,Southwick Beach State Park,Outdoors & Local Life,Beach / Camping,"Lake Ontario beach, swimming, camping, hiking, coastal dunes, snowshoeing and cross-country skiing.","[""Southwick Beach"", ""beach"", ""swimming"", ""camping"", ""hiking"", ""Lake Ontario""]",315-846-5338,,,,,NY,,Lake Ontario / Jefferson County,,,Seasonal facilities; park access varies by season,Public,Vehicle/camping fees may apply,civilian,,False,P2,active,New York State Parks,https://parks.ny.gov/visit/state-parks/southwick-beach-state-park,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
outdoors-075,Robert G. Wehle State Park,Outdoors & Local Life,Hiking / Lake Ontario,"Lake Ontario shoreline, hiking, scenery, and outdoor day trips.","[""Robert Wehle"", ""hiking"", ""Lake Ontario"", ""shoreline"", ""Henderson""]",,,,,,NY,,Henderson / Lake Ontario,,,Check seasonal/current park conditions,Public,Park rules/fees may apply,civilian,,False,P2,active,New York State Parks,https://parks.ny.gov/visit/state-parks/robert-g-wehle-state-park,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
outdoors-076,Wellesley Island State Park,Outdoors & Local Life,Camping / Boating / Trails,"Thousand Islands camping, cabins, marina/boat access, hiking, fishing, swimming and winter recreation.","[""Wellesley Island"", ""Thousand Islands"", ""camping"", ""boating"", ""hiking"", ""fishing""]",,,,,,NY,,Thousand Islands,,,Seasonal facilities vary,Public,Camping/vehicle/activity fees may apply,civilian,,False,P2,active,New York State Parks,https://parks.ny.gov/visit/state-parks/wellesley-island-state-park,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
outdoors-077,Sackets Harbor Visitor / Tourism Information,Outdoors & Local Life,Local Day Trip / Tourism,"Plan a Sackets Harbor day trip: waterfront, heritage trail, biking, paddling, history, family activities and events.","[""Sackets Harbor"", ""waterfront"", ""day trip"", ""heritage trail"", ""family activities""]",315-646-2321,,,,Sackets Harbor,NY,13685,Sackets Harbor / Lake Ontario,,,Visitor-center hours vary seasonally,Public,Many activities free; venue fees vary,civilian,,False,P2,active,Visit Sackets Harbor,https://visitsacketsharbor.com/,2026-09-24,2026-09-24,90,2026-12-23,[],,restored_from_pcshomes_deep_research_report
